n,x,v
965,-0.283177,-2.51528
966,-0.295754,-2.50157
967,-0.308261,-2.48728
968,-0.320698,-2.47239
969,-0.33306,-2.45693
970,-0.345344,-2.4409
971,-0.357549,-2.42429
972,-0.36967,-2.40712
973,-0.381706,-2.3894
974,-0.393653,-2.37113
975,-0.405509,-2.35232
976,-0.41727,-2.33297
977,-0.428935,-2.31309
978,-0.4405,-2.29269
979,-0.451964,-2.27177
980,-0.463323,-2.25035
981,-0.474575,-2.22843
982,-0.485717,-2.20602
983,-0.496747,-2.18312
984,-0.507662,-2.15974
985,-0.518461,-2.1359
986,-0.529141,-2.11159
987,-0.539699,-2.08683
988,-0.550133,-2.06163
989,-0.560441,-2.03598
990,-0.570621,-2.00991
991,-0.58067,-1.98342
992,-0.590587,-1.95651
993,-0.60037,-1.92919
994,-0.610016,-1.90148
995,-0.619523,-1.87338
996,-0.62889,-1.8449
997,-0.638115,-1.81605
998,-0.647195,-1.78683
999,-0.656129,-1.75726
1000,-0.664915,-1.72733
1001,-0.673552,-1.69707
1002,-0.682037,-1.66647
1003,-0.69037,-1.63555
1004,-0.698548,-1.60432
1005,-0.706569,-1.57277
1006,-0.714433,-1.54093
1007,-0.722138,-1.50879
1008,-0.729682,-1.47637
1009,-0.737063,-1.44367
1010,-0.744282,-1.4107
1011,-0.751335,-1.37748
1012,-0.758223,-1.34399
1013,-0.764943,-1.31027
1014,-0.771494,-1.2763
1015,-0.777876,-1.2421
1016,-0.784086,-1.20768
1017,-0.790124,-1.17304
1018,-0.79599,-1.13819
1019,-0.801681,-1.10314
1020,-0.807196,-1.0679
1021,-0.812536,-1.03247
1022,-0.817698,-0.996857
1023,-0.822682,-0.961072
1024,-0.827488,-0.92512
1025,-0.832113,-0.889007
1026,-0.836558,-0.852742
1027,-0.840822,-0.81633
1028,-0.844904,-0.779778
1029,-0.848803,-0.743094
1030,-0.852518,-0.706282
1031,-0.85605,-0.66935
1032,-0.859396,-0.632305
1033,-0.862558,-0.595152
1034,-0.865534,-0.557898
1035,-0.868323,-0.520549
1036,-0.870926,-0.483112
1037,-0.873341,-0.445593
1038,-0.875569,-0.407997
1039,-0.877609,-0.370331
1040,-0.879461,-0.332601
1041,-0.881124,-0.294813
1042,-0.882598,-0.256973
1043,-0.883883,-0.219087
1044,-0.884978,-0.181162
1045,-0.885884,-0.143202
1046,-0.8866,-0.105214
1047,-0.887126,-0.0672035
1048,-0.887462,-0.029177
1049,-0.887608,0.00885989
1050,-0.887564,0.0469013
1051,-0.887329,0.0849414
1052,-0.886905,0.122974
1053,-0.88629,0.160994
1054,-0.885485,0.198994
1055,-0.88449,0.23697
1056,-0.883305,0.274915
