n,x,v
474,0.00872299,-0.312615
475,0.00841038,-0.3127
476,0.00809768,-0.312783
477,0.00778489,-0.312862
478,0.00747203,-0.312939
479,0.00715909,-0.313012
480,0.00684608,-0.313082
481,0.006533,-0.313149
482,0.00621985,-0.313213
483,0.00590664,-0.313274
484,0.00559336,-0.313332
485,0.00528003,-0.313387
486,0.00496664,-0.313439
487,0.0046532,-0.313488
488,0.00433972,-0.313533
489,0.00402618,-0.313576
490,0.00371261,-0.313615
491,0.00339899,-0.313652
492,0.00308534,-0.313685
493,0.00277165,-0.313715
494,0.00245794,-0.313743
495,0.0021442,-0.313767
496,0.00183043,-0.313788
497,0.00151664,-0.313806
498,0.00120284,-0.313821
499,0.000889016,-0.313832
500,0.000575183,-0.313841
501,0.000261342,-0.313847
502,-5.25044e-05,-0.313849
503,-0.000366354,-0.313849
504,-0.000680203,-0.313845
505,-0.000994048,-0.313839
506,-0.00130789,-0.313829
507,-0.00162171,-0.313816
508,-0.00193553,-0.3138
509,-0.00224933,-0.313781
510,-0.00256311,-0.313759
511,-0.00287687,-0.313734
512,-0.0031906,-0.313706
513,-0.00350431,-0.313674
514,-0.00381798,-0.31364
515,-0.00413162,-0.313602
516,-0.00444523,-0.313562
517,-0.00475879,-0.313518
518,-0.00507231,-0.313472
519,-0.00538578,-0.313422
520,-0.0056992,-0.313369
521,-0.00601257,-0.313313
522,-0.00632588,-0.313254
523,-0.00663914,-0.313192
524,-0.00695233,-0.313127
525,-0.00726546,-0.313059
526,-0.00757852,-0.312988
527,-0.0078915,-0.312913
528,-0.00820442,-0.312836
529,-0.00851725,-0.312755
530,-0.00883001,-0.312672
531,-0.00914268,-0.312585
532,-0.00945526,-0.312495
533,-0.00976776,-0.312403
534,-0.0100802,-0.312307
535,-0.0103925,-0.312208
536,-0.0107047,-0.312106
537,-0.0110168,-0.312001
538,-0.0113288,-0.311893
539,-0.0116407,-0.311782
540,-0.0119525,-0.311668
541,-0.0122641,-0.31155
542,-0.0125757,-0.31143
543,-0.0128871,-0.311307
544,-0.0131984,-0.31118
545,-0.0135096,-0.311051
546,-0.0138206,-0.310918
547,-0.0141316,-0.310783
548,-0.0144423,-0.310644
549,-0.014753,-0.310502
550,-0.0150635,-0.310358
551,-0.0153738,-0.31021
552,-0.0156841,-0.310059
553,-0.0159941,-0.309905
554,-0.016304,-0.309748
555,-0.0166138,-0.309588
556,-0.0169234,-0.309425
557,-0.0172328,-0.309259
558,-0.017542,-0.30909
559,-0.0178511,-0.308918
560,-0.0181601,-0.308743
561,-0.0184688,-0.308565
562,-0.0187774,-0.308384
563,-0.0190857,-0.3082
564,-0.0193939,-0.308012
565,-0.019702,-0.307822
566,-0.0200098,-0.307629
567,-0.0203174,-0.307433
568,-0.0206248,-0.307233
569,-0.0209321,-0.307031
570,-0.0212391,-0.306826
571,-0.0215459,-0.306617
572,-0.0218525,-0.306406
